docID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
32,oil,news,percent,government,income,reuters,budget,finance,mexico,drop,spending,videgaray,output,cut,business,company,bank,economy,gdp,million,carstens,minutes,delayed,proposal,prices,amid,projected,term,central,pemex,exports,luis,thomson,barrel,information,rojas,reform,domestic,day,average,revenue,due,ministry,worlds,uneven,nasdaq,excluding,minister,alerts,television
33,news,debt,monetary,policy,kocherlakota,economy,fed,reuters,rates,risk,public,business,fiscal,minutes,federal,market,delayed,lower,instability,official,financial,help,thomson,levels,policymakers,information,effective,cut,finance,choosing,borrow,worlds,nasdaq,alerts,television,borrowing,taxes,am,form,suggests,recent,extra,video,decades,president,international,suburb,jason,providing,job
34,news,reuters,spending,business,measure,minutes,bill,consideration,congress,delayed,house,government,boehner,decisions,thomson,information,finance,worlds,nasdaq,temporary,alerts,television,david,heavey,video,crowded,international,pope,providing,largest,world,technology,address,platforms,interactive,nuclear,include,francis,market,handbook,firstever,reporting,oct,headline,list,funds,agency,mutual,personal,avoid
35,fiscal,revenue,million,ebitda,growth,pass,mountain,season,adjusted,segment,currency,call,prior,basis,resorts,guidance,increased,results,estate,range,real,expect,canadian,blue,conditions,business,land,product,strong,ski,skier,maybe,grew,okay,products,relative,constant,total,impact,average,continued,adventure,max,samestore,pretty,tom,sales,time,thank,resort
36,rousseff,news,government,brazils,programs,business,economy,minister,taxes,levy,spending,percent,austerity,tax,social,cut,budget,finance,credit,billion,public,fiscal,party,reuters,brazilian,cutting,rousseffs,measures,cuts,political,real,recession,brasilia,brazil,unemployment,lawmakers,putting,adjustment,construction,lifted,bonds,levys,raised,expenditures,week,minutes,leftist,bite,pressure,congress
37,million,quarter,fourth,fiscal,net,facility,coffee,call,income,customers,nongaap,financial,plan,relocation,corporate,torrance,phase,cost,compared,sales,related,available,thank,june,texas,website,prior,performance,sale,loss,share,green,costs,earnings,approximately,total,versus,conference,increase,information,credit,mark,pounds,companys,farmer,commodity,period,price,included,transition
38,wed,brazil,sp,gdp,follow,fiscal,site,link,banned,dont,growth,real,economy,vs,brazilian,heres,cock,political,shit,policy,hedge,cut,budget,suit,contraction,chinas,moodys,negative,investment,inflation,deficits,dollars,primary,junk,rating,dead,downgrade,zero,result,yest,plan,economic,stuff,looks,im,lack,updated,impossible,beat,biiizzzaaaatchessssss
39,giii,apparel,fiscal,revenue,quarter,company,million,guidance,eps,income,margin,glance,third,growth,business,net,passing,half,fullyear,companys,improvement,yearoveryear,alpha,rate,seeking,margins,investors,improving,recent,karl,launch,product,pro,midpoint,earnings,offered,space,results,profit,progress,opportunities,totaled,floor,integration,equate,performance,target,range,giiis,acquisition
40,fiscal,million,market,customers,lot,growth,quarter,security,traps,sales,revenue,platform,share,basis,customer,thats,call,business,technology,services,palo,alto,wildfire,product,weve,networks,margin,endpoint,look,sequentially,grew,yearoveryear,prevention,nongaap,seeing,data,continue,increase,value,operating,billings,rates,subscription,results,mark,expansion,time,total,fourth,cash
41,million,quarter,fiscal,third,compared,project,approximately,development,cash,commercial,expected,revenue,limoneira,property,lewis,acres,period,agribusiness,share,earnings,months,results,lemon,call,companys,lower,gateway,time,july,additional,flow,business,nine,avocado,operating,potential,operations,real,harold,company,estate,previously,acre,anticipated,financial,sales,paula,volume,transaction,price
42,news,government,rousseff,austerity,president,congress,measures,thursday,brazil,cut,business,investors,economic,ability,governments,reuters,levy,spending,little,revenues,stimulus,country,rating,downgrade,budget,finance,credit,minister,television,pmdb,brazils,boadle,adjust,party,minutes,proposals,market,delayed,efforts,costcutting,global,agency,tax,expected,interview,political,sept,costly,policies,deliver
43,million,quarter,revenue,cloud,fiscal,compared,fourth,egain,gross,business,total,call,financial,digital,customers,loss,results,subscription,basis,conference,support,bookings,statements,comparable,acv,ago,companys,margin,sales,guidance,june,license,product,constant,currency,deferred,net,nongaap,services,forwardlooking,share,ashu,onpremise,continue,team,measures,forward,time,risk,program
44,infrastructure,sp,global,index,dow,trademark,llc,pro,alpha,jones,seeking,dji,threeyear,fund,investment,companies,thank,hedged,energy,information,holdings,investors,iq,shortly,contact,meanwhile,product,provide,transportation,perspective,indices,transmission,corridore,currencies,created,forward,bridges,look,rail,electric,expansion,standard,currency,nyse,local,demand,assets,individual,capital,roads
45,spending,funding,congress,government,fiscal,lawmakers,extension,sequester,december,republicans,shortterm,tax,measures,highway,real,economics,republican,shutdown,planned,bank,news,extend,provisions,mcconnell,midnovember,multiyear,fund,pay,happen,democrats,series,avoid,probably,wont,option,send,revenues,time,deadlines,bills,senate,leaders,items,means,pass,parenthood,risk,treasury,department,july
46,fiscal,quarter,third,million,nine,net,months,compared,call,sales,occ,period,gross,markets,profit,decreased,conference,results,sga,share,expenses,earnings,due,cable,margin,questions,thank,optical,transcript,tracy,information,neil,market,alpha,diluted,basic,time,seeking,fees,attributable,instructions,commercial,companys,factors,corporation,president,products,periods,ill,value
47,million,quarter,fiscal,sales,fourth,increase,gross,profit,segment,human,products,health,basis,income,share,business,product,net,compared,okay,aceto,results,impact,due,look,increased,call,continued,margin,fda,terms,earnings,growth,thank,rising,performance,related,total,versus,pack,companys,earlier,launches,market,prior,price,nongaap,sal,strong,sga
48,site,link,follow,banned,increased,isis,zero,cftc,heres,semi,policies,policy,speculators,actions,hedge,offer,cookie,net,nokia,affirms,theyre,guide,rights,futures,history,reveals,notice,killed,cough,read,vulnerable,recession,shares,media,interphase,asset,treasury,unless,update,yourself,deal,resume,cme,nonpolicy,introduction,hanwha,unmasking,auction,secret,calamos
49,gdp,tax,taxes,budget,federal,spending,pro,alpha,government,individual,seeking,deficit,income,relative,line,growth,billion,thank,past,increased,average,revenue,postwar,economy,fiscal,mere,shortly,contact,sector,product,annualized,personal,six,corporate,forward,look,rate,revenues,error,declined,contacting,information,restraint,short,impact,secret,hardly,investors,estate,endeavor
50,news,surplus,government,billion,budget,canada,fiscal,reuters,earlier,percent,run,deficits,deficit,finance,business,economy,plan,april,measure,canadas,party,report,minutes,delayed,ahead,spending,conservatives,budgets,posted,helped,projected,expected,trudeau,reserve,ratio,harper,balanced,thomson,debt,information,comments,cut,reported,domestic,average,credit,released,worlds,stay,nasdaq
51,news,billion,budget,reuters,measures,government,reais,business,subsidies,minutes,delayed,spending,cuts,thomson,information,cut,finance,revenue,credit,worlds,nasdaq,alerts,television,dilma,rousseff,fiscal,plug,bridge,gap,gdp,unveils,brazils,video,infrastructure,hit,president,international,boadle,providing,largest,lowcost,world,technology,platforms,bonuses,interactive,month,meredith,manufactured,market
52,news,budget,reuters,billion,business,revenue,sources,minutes,delayed,spending,cuts,reais,thomson,information,finance,worlds,nasdaq,alerts,television,bridging,dilma,rousseff,plug,readies,gdp,goy,video,meet,president,international,providing,largest,world,technology,platforms,raise,interactive,market,handbook,reporting,congress,headline,list,monday,surplus,funds,percent,agency,mutual,shortfall
53,fiscal,million,customers,weve,cash,time,programs,commercial,quarter,customer,call,supply,agreement,financial,fourth,thank,existing,sales,thats,okay,unilife,product,start,forward,look,development,expense,information,business,shareholders,parties,delivery,market,drug,clinical,yes,additional,statements,rd,provide,announced,alan,measures,terms,approximately,agreements,cant,bit,result,am
54,pqe,rate,government,target,reserve,ior,balances,boe,central,bank,spending,qe,banks,table,omfg,operations,debt,pvd,policy,inflationary,rrps,infrastructure,money,markets,zirp,tbills,step,governments,boes,financial,demand,worth,nib,created,carry,zero,net,monetary,via,tbill,profits,essentially,ability,post,own,service,set,creates,independence,quantity
55,percent,fiscal,growth,news,spending,economy,chinas,reuters,yuan,china,rose,economic,investment,august,local,trillion,yy,earlier,biggest,economists,pressure,market,pct,chinese,global,monetary,government,policy,beijing,stimulus,data,budget,finance,business,revenue,ministry,worlds,near,taxes,expenditure,easing,april,cooling,governments,dropped,technology,minutes,delayed,headline,monday
56,spending,app,budget,help,personal,track,accounts,financial,free,mint,set,finance,credit,create,save,apps,time,easy,complete,finances,month,money,budgets,offers,information,picture,charts,easier,reminders,computer,bill,recommendations,life,score,view,saving,habits,share,links,quicken,tools,expenses,organize,bills,cloud,available,capital,tablet,online,plenty
57,percent,news,sales,spending,production,factory,month,output,auto,retail,stores,data,july,economy,fed,reuters,market,manufacturing,drop,strong,prices,consumer,fell,rose,third,contracted,business,quarter,excluding,recent,gasoline,providing,receipts,report,week,gains,overall,minutes,federal,delayed,tuesday,york,rising,global,building,dollar,suggested,markets,august,rate
58,news,rousseff,reuters,business,brazils,minutes,delayed,spending,government,reduction,announce,ministries,thomson,information,cut,finance,worlds,nasdaq,alerts,television,dilma,plan,fiscal,bridge,video,president,international,boadle,providing,largest,world,technology,week,approval,platforms,interactive,federal,market,handbook,utmost,reporting,tuesday,headline,list,monday,funds,announced,agency,mutual,congressional
59,news,percent,reuters,bill,economy,fiscal,argentinas,budget,government,policies,primary,domestic,business,economic,minutes,delayed,compared,projected,markets,inflation,takes,pace,thomson,increase,draft,presidential,kicillof,pick,information,taxtake,kicillofs,stability,finance,dec,average,balance,mangano,meaning,worlds,scioli,nasdaq,stated,unwind,platform,minister,alerts,television,candidate,grow,ability
60,quarter,fiscal,fourth,million,revenue,dover,compared,gross,margin,margins,acquisition,contract,call,waller,pipeline,continue,weve,services,terms,increase,little,seeing,improved,balance,versar,paid,cash,company,comfortable,provide,loss,time,sheet,thank,thats,question,actually,expected,backlog,payables,past,segment,months,couple,results,talked,overall,project,net,jcss
61,fiscal,million,fuel,business,school,revenue,growth,contracts,net,thats,literally,weve,cost,operating,increase,lot,results,bus,range,buses,company,market,lease,income,lower,pat,quarter,ebitda,vehicles,look,operations,adjusted,increases,canadian,price,approximately,expense,cash,im,continued,mean,prices,share,replacement,dividend,capital,past,call,bid,customers
62,fiscal,quarter,million,growth,sales,fourth,approximately,basis,business,margin,tonys,mean,earnings,operating,unfi,bit,fuel,net,little,call,customer,foods,question,categories,am,customers,product,prior,yes,impact,products,significant,lot,share,time,billion,distribution,transition,company,fresh,start,steve,mark,ma,okay,income,talk,channel,maybe,continue
63,quarter,fiscal,million,store,prior,fourth,sales,operating,increase,revenue,compared,expect,pricing,retail,earnings,cracker,call,information,initiatives,basis,release,income,cost,share,restaurant,conference,results,tax,financial,adjusted,barrel,drive,outlook,press,commodity,total,increased,question,plan,menu,performance,strong,comparable,expenses,fusion,increases,offerings,labor,experience,larry
64,news,government,mcconnell,bill,senate,reuters,leader,planned,business,fund,funding,minutes,federal,delayed,funds,agency,majority,thomson,parenthood,washington,mitch,information,finance,shutdowns,worlds,nasdaq,temporary,alerts,television,digital,late,video,wave,international,providing,largest,world,technology,walks,platforms,floor,legislation,interactive,whats,womens,market,handbook,oct,life,efforts
65,quarter,fiscal,growth,nongaap,margin,million,operating,basis,currency,revenue,expect,business,compared,half,look,fourth,ultrasound,strong,thats,call,medical,lot,revenues,please,gross,testing,constant,imaging,market,little,security,detection,question,slide,private,gaap,time,presentation,label,flat,impact,continued,guess,unfavorable,yes,earnings,thank,segment,id,timing
66,debt,government,money,monetary,sovereign,currency,countries,sovereignty,safe,country,governments,value,own,currencies,investment,economic,monetarily,sector,issue,private,assets,deficit,issued,fiscal,spending,financial,inflation,growth,asset,economy,austerity,yves,tipping,political,real,recession,economies,external,trade,simply,uk,power,coppola,crisis,example,premier,surplus,global,future,debtgdp
67,investment,economic,news,government,corbyn,osborne,spending,boe,borrow,bank,reuters,money,labours,britains,britain,voters,times,finance,business,spend,economy,pounds,leftwing,infrastructure,beck,international,slowdown,economists,fund,minutes,london,ideas,consultancy,delayed,george,future,doesnt,share,central,inflation,housing,plans,policy,crazy,capital,economics,thomson,trillion,leader,highspeed
68,economic,germany,fiscal,fed,european,risk,qe,ecb,german,eurozone,growth,policy,fomc,global,rates,central,inflation,economies,data,monetary,view,immigration,real,hold,japan,bank,integration,labour,france,prices,rate,based,risks,investors,equity,own,move,advanced,germanys,increases,current,economy,easing,bubble,party,overheating,surplus,alpha,position,austerity
69,policy,monetary,economy,fiscal,yellen,inflation,fed,market,demand,result,rule,keynesian,cause,aggregate,money,offset,instrument,rates,shock,base,classical,expectations,look,instead,rate,terms,control,textbook,tightening,bernanke,shocks,world,drop,prices,targeting,markets,means,exchange,curve,bank,hence,lot,believe,lower,yellens,pro,alpha,nominal,negative,labour
70,news,infrastructure,reuters,billion,bank,foreign,business,economic,fund,invest,sovereign,central,governor,growth,mobilise,projects,told,rahman,economy,issuing,bonds,bangladesh,provide,minutes,delayed,funds,percent,commerce,agency,atiur,banks,government,samad,currency,reserves,wealth,thomson,countrys,bangladeshs,information,finance,credit,due,worlds,mark,nasdaq,alerts,television,heneghan,effect
71,fund,news,caisse,infrastructure,pension,mexican,percent,billion,ckd,im,mexico,reuters,manager,investment,energy,business,vehicle,world,minutes,invest,statement,delayed,monday,funds,mutual,investments,portfolio,plans,managers,thomson,banorte,currently,ceo,information,finance,dpt,caisses,commit,worlds,exceptional,nasdaq,stated,eurostar,platform,economy,investors,alerts,television,grupo,shareholders
72,news,spending,democrats,measure,reuters,bill,defense,vote,senate,republicans,business,fiscal,minutes,failed,delayed,funds,appropriations,tax,government,thomson,republicanled,information,budget,finance,planned,worlds,nasdaq,temporary,alerts,television,plan,digital,oppose,voting,video,advance,international,providing,parties,largest,party,world,technology,blocked,passage,fierce,platforms,interactive,funding,contingency
73,news,reuters,spending,democrats,business,voting,minutes,bill,delayed,mutual,defense,vote,senate,thomson,republicans,information,finance,worlds,nasdaq,alerts,television,digital,fiscal,continued,measure,video,advance,international,providing,bonds,largest,party,world,technology,blocked,passage,fierce,platforms,eric,fund,interactive,failed,whats,market,handbook,reporting,oct,fight,walsh,life
74,policy,economy,monetary,tight,fiscal,actually,tax,rates,fed,dont,pretty,markets,government,private,wed,rate,deficit,orcam,below,effect,unemployment,fairly,post,ive,screaming,sector,low,money,heres,target,doing,safe,fragile,cuts,arent,financial,help,time,pragmatic,thats,tightening,hawkins,capitalism,asset,humphrey,yourself,bit,result,subpar,question
75,news,brazils,reuters,budget,finance,business,key,levy,minutes,delayed,efforts,spending,growth,thomson,information,credit,worlds,nasdaq,minister,alerts,television,widening,economic,digital,fiscal,plug,recent,gap,avert,restoring,video,governments,restore,meet,international,providing,silvio,largest,otoni,cascione,world,technology,platforms,interactive,writing,parrabernal,whats,agencies,joaquim,market
76,shutdown,debt,spending,limit,effect,federal,government,wed,deadline,extension,site,week,funding,house,authority,senate,bn,follow,link,banned,september,republicans,legislation,congress,services,current,ppfa,direct,treasury,cash,looks,situation,issue,time,growth,weeks,pass,republican,support,data,aca,energy,shutdowns,balance,releases,reports,exhibit,market,estimate,clean
77,fiscal,million,quarter,revenue,business,billion,ems,customer,call,dms,growth,core,income,earnings,thank,segment,share,outlook,forbes,im,lot,operating,range,investments,terms,yearoveryear,look,approximately,capex,cash,yes,guidance,bit,question,company,okay,dont,fourth,capital,margins,id,prepared,markets,youre,basis,questions,mobility,increase,comments,backhalf
78,thu,government,permission,americans,site,follow,link,threat,time,banned,people,immediate,half,freedoms,military,rights,cuz,free,dont,federal,attention,citizens,powers,lunatic,taxes,fed,fucking,impossible,president,law,yellen,speech,tend,build,private,white,issues,policies,shit,policy,police,japanese,liberty,fence,zero,hedge,gold,question,govt,dck
79,news,economy,market,consumption,government,business,ma,growth,reuters,chinese,alibaba,opportunity,drive,minutes,jack,delayed,spending,percent,investment,real,billion,thomson,china,stock,people,ceo,information,reported,finance,quarter,worlds,nasdaq,alerts,television,ceos,alibabas,economic,digital,flourish,seattle,xi,school,video,infrastructure,governments,president,international,baban,providing,exportled
80,news,house,pelosi,reuters,business,distraction,minutes,delayed,spending,government,resignation,sept,boehner,thomson,information,budget,finance,worlds,step,nasdaq,alerts,television,david,digital,boehners,fiscal,decision,negotiations,heavey,video,international,reacting,providing,democratic,largest,world,technology,platforms,interactive,bill,writing,whats,market,handbook,reporting,life,efforts,headline,list,friday
81,news,reuters,business,minutes,delayed,spending,inflation,thomson,debt,brazil,information,finance,bank,worlds,nasdaq,alerts,television,natalia,digital,hay,video,international,providing,largest,helps,world,technology,platforms,interactive,paulo,writing,parrabernal,whats,market,handbook,reporting,lower,life,headline,list,medium,friday,funds,agency,mutual,sao,personal,multimedia,amex,click
82,quarter,spending,basis,consumer,gdp,personal,strong,reading,brought,pro,alpha,rate,growth,thank,seeking,data,expenditures,product,businesses,inventories,fixed,rise,activity,business,nonresidential,reports,upward,judging,shortly,contact,inventory,solid,durables,economists,led,overall,month,driven,lower,details,component,rising,prior,appears,resilient,annualized,consumption,investment,investments,final
83,gdp,prices,oil,spending,low,jobs,consumer,energy,fomc,pro,alpha,coming,rates,rate,seeking,quarters,impact,economy,report,outlook,raise,market,dollar,growth,hike,thank,past,rise,increase,cut,quarter,due,remain,fed,recent,factors,shortly,contact,transitory,product,relation,positive,personal,compared,start,banks,term,forward,look,via
84,percent,spending,news,consumer,economy,inflation,reuters,rate,rose,fed,month,august,increased,business,quarter,investors,grew,earlier,report,key,minutes,delayed,core,personal,strong,prices,rates,annual,signs,firmed,thomson,feds,rise,july,increase,energy,information,reported,domestic,finance,third,remained,concerns,worlds,trend,nasdaq,excluding,socalled,alerts,television
